policy,workload,rep,trials,majority_query_rate,any_query_rate,majority_interval_rate,any_interval_rate,mean_query_ratio,mean_peak_ratio,max_tail_ratio,zero_ratio_in_both_capture_orders,first_fragments,noninitial_fragments,forged_logged,forged_observed,clock_offset_range_ms,capture_order_inversions,max_capture_inversion_ms,record_order_max_orphan_ratio
B0_OFF,ATTACK_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4807,4807,50,50,1032.136103,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5718,5718,0,0,0.000663,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,396,396,0,0,0.000567,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4866,4866,50,50,0.000472,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5628,5628,0,0,0.000472,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4865,4865,50,50,0.000662,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,400,400,50,50,0.000943,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5629,5629,50,50,0.000846,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,1782.209889,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5101,5101,50,50,1808.046157,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,380,380,0,0,1848.453394,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,359,359,0,0,1887.790815,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,1756.842978,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,360,360,0,0,1790.523434,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,348,348,50,50,1842.461692,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5659,5659,0,0,1906.808634,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4948,4948,0,0,1764.788344,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,1798.440329,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,392,392,0,0,0.000378,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5686,5686,50,50,0.000566,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,395,395,0,0,1805.359013,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4864,4864,50,50,0.000659,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,343,343,0,0,0.000468,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4848,4848,50,50,0.000757,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.023276,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4791,4791,50,50,0.000565,0,0.0,0.0
